stock_id,group_id
601766,439
600826,1154
600810,1154
600507,184
600211,324
600193,324
600127,324
600824,1154
600808,324
600995,423
601169,439
600083,184
600271,324
600583,324
600847,324
600710,47
600677,439
600382,47
600537,439
600900,47
600860,1154
601628,184
600576,423
600222,47
600985,1154
600080,47
600276,439
601688,423
603616,423
600936,1154
603389,1154
603517,324
603111,423
603089,184
603703,184
603918,1154
603779,324
603958,423
600977,423
601595,423
603977,324
603319,324
603032,439
603839,439
603050,1154
603916,423
601818,47
600523,184
600189,47
600516,184
600172,1154
600173,1154
600246,47
601168,423
600197,324
600369,47
600231,47
600785,324
600881,439
600188,423
600540,1154
600863,47
600740,439
601899,47
600021,1154
600756,47
600626,47
600853,439
600883,1154
600135,1154
600152,47
600070,439
600717,423
600829,184
600160,324
603002,1154
601216,324
603066,324
600929,324
603388,439
603168,324
603901,184
603351,184
603421,1154
603716,1154
603385,423
603900,423
603886,439
603180,184
603196,423
603595,423
603978,423
603083,324
600146,423
600488,423
600312,324
600035,439
600501,439
600107,423
601005,184
600010,324
600058,324
600621,47
600833,423
600103,47
600809,423
601007,423
600876,423
600557,47
600664,439
600009,47
600175,1154
600865,324
600348,184
600400,439
600598,47
600363,47
600655,324
600658,439
600116,47
600235,47
601126,184
601616,184
601555,423
601929,184
603333,184
601608,423
603630,1154
603077,423
600023,439
603288,324
603606,1154
603101,439
601229,423
603660,423
603615,1154
601326,184
601952,1154
603938,184
603880,324
603721,324
603500,184
603813,324
603809,184
603917,184
601828,184
600012,423
600272,324
600179,1154
600018,184
600307,423
600297,47
600784,1154
600446,439
600584,184
600320,184
600604,423
600321,439
600802,439
600692,184
600886,47
600567,184
600781,324
600580,184
600997,184
600287,184
600821,184
600421,423
600889,324
600227,47
600642,439
600706,1154
600067,1154
601799,1154
601633,439
603611,324
601231,439
603768,184
601900,324
603028,423
603569,184
601375,324
603228,324
603330,184
603985,1154
601949,439
603648,423
603321,1154
603499,1154
603278,184
603693,423
603667,423
600491,324
600133,439
600803,47
600016,439
600019,1154
600648,324
600054,1154
600793,439
600216,47
600532,439
600069,423
600280,439
600232,1154
600888,47
600353,184
601390,423
601001,47
600444,324
600571,423
600267,184
600844,423
600359,439
600859,439
600704,439
600622,184
600962,423
600682,423
600248,439
601607,423
603238,324
601968,1154
601886,1154
601996,184
603665,324
600919,324
603516,423
603076,439
603365,324
603156,324
603227,423
600999,423
600497,1154
600123,47
600241,324
600201,184
600500,439
600527,423
600650,423
600165,1154
600592,184
600118,423
600039,184
600522,324
600729,423
600240,184
600317,1154
600476,1154
600238,47
600866,47
600256,439
600975,423
600129,439
600891,423
600797,324
600489,47
600761,184
600737,324
600734,1154
600846,423
600715,1154
601021,423
601500,324
603989,423
603638,324
603712,439
603303,324
603518,184
603021,439
603866,423
603299,439
603877,423
603320,423
603776,423
601878,1154
603103,439
601019,1154
603596,324
600506,324
600167,47
600560,47
600191,47
600182,423
600746,1154
600309,423
600686,439
600143,423
600082,439
600971,324
600825,423
600744,324
600209,324
600683,324
600758,423
600970,423
600215,184
600835,439
601919,439
600277,184
600732,184
600561,423
600614,324
600645,324
600726,1154
600862,423
600707,324
600901,423
600025,423
603041,1154
603587,1154
603810,184
603583,1154
603368,439
603315,184
603599,1154
601985,184
603778,324
603258,439
601212,324
603055,1154
603214,423
601068,1154
601718,324
600109,423
600597,47
600210,1154
600212,423
600284,324
600510,184
600976,324
600375,184
600383,184
600408,1154
600588,439
600687,324
600340,324
600703,439
600117,47
600749,47
600657,47
600120,324
600766,47
600796,47
600593,184
600425,184
600185,423
600328,423
601009,1154
600741,184
600875,439
600391,324
601018,47
601118,324
601567,439
603000,184
603358,324
601838,184
603506,324
603369,423
600959,423
603355,184
603026,324
601368,439
603508,1154
603881,1154
600908,423
603990,1154
603098,184
603218,1154
603689,184
603829,324
603848,423
603890,324
603655,1154
603259,423
603603,423
600436,439
600302,184
600458,324
600095,324
600170,1154
600897,1154
600581,1154
600300,184
600150,1154
600387,324
600654,439
600166,423
600694,439
600559,47
600608,423
600725,47
600587,439
600685,47
600520,47
600148,324
601898,184
600986,439
600483,423
600313,423
600745,184
600388,1154
601398,47
600691,1154
600652,423
601636,439
601200,324
601669,1154
601800,1154
603699,1154
601015,324
603223,423
603996,439
601619,1154
603822,1154
603858,439
603336,439
603266,439
603233,1154
603183,1154
603711,324
601388,423
600331,1154
600795,1154
600093,47
600052,324
600007,324
600681,324
600572,324
600678,324
600496,324
600378,423
600455,439
600301,439
600478,324
600633,423
600081,439
600485,439
600653,47
600163,439
600775,184
600811,439
600566,1154
600873,324
600724,423
600066,47
600467,423
600585,184
600423,47
600757,423
600640,1154
603366,324
603387,184
601117,423
603226,184
603488,324
601069,184
601890,439
603895,423
603960,439
