stock_id,timestamp
1,2026-08-28T09:30:00.100180+08:00
3,2026-08-28T09:30:00.100740+08:00
5,2026-08-28T09:30:00.101210+08:00
2,2026-08-28T09:30:00.103920+08:00
6,2026-08-28T09:30:00.104310+08:00
9,2026-08-28T09:30:00.104880+08:00
11,2026-08-28T09:32:14.000150+08:00
12,2026-08-28T09:32:14.000690+08:00
15,2026-08-28T09:32:14.001260+08:00
3,2026-08-28T09:34:12.250110+08:00
4,2026-08-28T09:34:12.250680+08:00
8,2026-08-28T09:34:12.251340+08:00
6,2026-08-28T09:37:18.120160+08:00
7,2026-08-28T09:37:18.120720+08:00
10,2026-08-28T09:37:18.121410+08:00
1,2026-08-28T09:41:05.500210+08:00
4,2026-08-28T09:41:05.501020+08:00
12,2026-08-28T09:43:00.700170+08:00
13,2026-08-28T09:43:00.700940+08:00
2,2026-08-28T09:46:30.600190+08:00
7,2026-08-28T09:46:30.601180+08:00
1,2026-08-28T09:52:45.900150+08:00
5,2026-08-28T09:52:45.900780+08:00
8,2026-08-28T09:52:45.901440+08:00
11,2026-08-28T09:54:22.300120+08:00
13,2026-08-28T09:54:22.300730+08:00
14,2026-08-28T09:54:22.301520+08:00
2,2026-08-28T09:58:11.410130+08:00
9,2026-08-28T09:58:11.410690+08:00
10,2026-08-28T09:58:11.411380+08:00
3,2026-08-28T10:03:10.100200+08:00
5,2026-08-28T10:03:10.100950+08:00
11,2026-08-28T10:03:10.102650+08:00
14,2026-08-28T10:03:10.103080+08:00
15,2026-08-28T10:03:10.103900+08:00
6,2026-08-28T10:03:10.106250+08:00
9,2026-08-28T10:03:10.106860+08:00
12,2026-08-28T10:12:02.050180+08:00
14,2026-08-28T10:12:02.050960+08:00
1,2026-08-28T10:17:00.000090+08:00
3,2026-08-28T10:17:00.000520+08:00
4,2026-08-28T10:17:00.001030+08:00
8,2026-08-28T10:17:00.001690+08:00
2,2026-08-28T10:25:00.020120+08:00
6,2026-08-28T10:25:00.020770+08:00
7,2026-08-28T10:25:00.021450+08:00
8,2026-08-28T10:30:15.120360+08:00
11,2026-08-28T10:35:09.900140+08:00
12,2026-08-28T10:35:09.900650+08:00
13,2026-08-28T10:35:09.901280+08:00
4,2026-08-28T10:45:20.330110+08:00
5,2026-08-28T10:45:20.331070+08:00
7,2026-08-28T10:55:44.800130+08:00
9,2026-08-28T10:55:44.800740+08:00
10,2026-08-28T10:55:44.801420+08:00
13,2026-08-28T11:03:33.200160+08:00
14,2026-08-28T11:03:33.200710+08:00
15,2026-08-28T11:03:33.201330+08:00
1,2026-08-28T11:12:05.750140+08:00
8,2026-08-28T11:12:05.751080+08:00
2,2026-08-28T11:18:30.300090+08:00
6,2026-08-28T11:18:30.300620+08:00
10,2026-08-28T11:18:30.301270+08:00
11,2026-08-28T11:25:00.650100+08:00
15,2026-08-28T11:25:00.651040+08:00
2,2026-08-28T11:28:50.500170+08:00
10,2026-08-28T11:28:50.501190+08:00
7,2026-08-28T13:02:00.100250+08:00
3,2026-08-28T13:05:00.200120+08:00
4,2026-08-28T13:05:00.200680+08:00
5,2026-08-28T13:05:00.201310+08:00
6,2026-08-28T13:18:12.010150+08:00
7,2026-08-28T13:18:12.010760+08:00
9,2026-08-28T13:18:12.011390+08:00
12,2026-08-28T13:45:26.430100+08:00
13,2026-08-28T13:45:26.430690+08:00
14,2026-08-28T13:45:26.431420+08:00
14,2026-08-28T14:05:18.250330+08:00
1,2026-08-28T14:22:40.600120+08:00
3,2026-08-28T14:22:40.600650+08:00
5,2026-08-28T14:22:40.601200+08:00
8,2026-08-28T14:22:40.601780+08:00
11,2026-08-28T14:22:40.604130+08:00
13,2026-08-28T14:22:40.604670+08:00
15,2026-08-28T14:22:40.605100+08:00
2,2026-08-28T14:40:00.500110+08:00
6,2026-08-28T14:40:00.500620+08:00
9,2026-08-28T14:40:00.501190+08:00
10,2026-08-28T14:40:00.501760+08:00
